"Id","UserId","SubscriptionTierId","StartDate","EndDate","IsActive","AutoRenew","PaymentMethod","PaymentReference","PaidAmount","Currency","LastPaymentDate","NextPaymentDate","CurrentDailyUsage","CurrentMonthlyUsage","LastUsageResetDate","MonthlyUsageResetDate","Status","CancellationReason","CancellationDate","IsTrialSubscription","TrialEndDate","CreatedDate","UpdatedDate","CreatedUserId","UpdatedUserId","IsSponsoredSubscription","SponsorId","SponsorshipCodeId","SponsorshipNotes","ReferralCredits","QueueStatus","QueuedDate","ActivatedDate","PreviousSponsorshipId","PaymentTransactionId"
111,129,5,2025-10-04 15:31:46.277 +0300,2025-11-03 15:31:46.277 +0300,false,false,Trial,,0.00,TRY,,,1,1,2025-10-04 15:31:46.277 +0300,2025-10-04 15:31:46.277 +0300,Expired,,,true,2025-11-03 15:31:46.277 +0300,2025-10-04 15:31:46.277 +0300,2025-11-16 15:58:30.473 +0300,129,,false,,,,0,2,,,,
112,130,5,2025-10-04 16:49:29.133 +0300,2025-11-03 16:49:29.133 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-05 11:59:17.113 +0300,2025-10-04 16:49:29.133 +0300,Expired,,,true,2025-11-03 16:49:29.133 +0300,2025-10-04 16:49:29.133 +0300,2025-11-16 15:58:30.473 +0300,130,,false,,,,18,2,,,,
113,131,5,2025-10-04 16:53:10.279 +0300,2025-10-08 11:56:45.162 +0300,false,false,Trial,,0.00,TRY,,,1,1,2025-10-04 16:53:10.279 +0300,2025-10-04 16:53:10.279 +0300,Upgraded,,,true,2025-11-03 16:53:10.279 +0300,2025-10-04 16:53:10.279 +0300,2025-10-08 11:56:45.162 +0300,131,,false,,,,0,2,,,,
114,132,5,2025-10-05 16:38:50.977 +0300,2025-11-04 16:38:50.977 +0300,false,false,Trial,,0.00,TRY,,,0,1,2025-10-15 21:38:45.523 +0300,2025-10-05 16:38:50.977 +0300,Expired,,,true,2025-11-04 16:38:50.977 +0300,2025-10-05 16:38:50.977 +0300,2025-11-16 15:58:30.473 +0300,132,,false,,,,0,2,,,,
115,133,5,2025-10-05 19:33:28.555 +0300,2025-11-04 19:33:28.555 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-05 19:33:28.555 +0300,2025-10-05 19:33:28.555 +0300,Expired,,,true,2025-11-04 19:33:28.555 +0300,2025-10-05 19:33:28.555 +0300,2025-11-16 15:58:30.473 +0300,133,,false,,,,0,2,,,,
116,134,5,2025-10-05 19:34:02.668 +0300,2025-11-04 19:34:02.668 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-05 19:34:02.668 +0300,2025-10-05 19:34:02.668 +0300,Expired,,,true,2025-11-04 19:34:02.668 +0300,2025-10-05 19:34:02.668 +0300,2025-11-16 15:58:30.473 +0300,134,,false,,,,0,2,,,,
117,135,5,2025-10-07 12:30:15.378 +0300,2025-11-06 12:30:15.378 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-07 12:30:15.378 +0300,2025-10-07 12:30:15.378 +0300,Expired,,,true,2025-11-06 12:30:15.378 +0300,2025-10-07 12:30:15.378 +0300,2025-11-16 15:58:30.473 +0300,135,,false,,,,0,2,,,,
118,136,5,2025-10-07 19:37:56.486 +0300,2025-11-06 19:37:56.486 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-07 19:37:56.486 +0300,2025-10-07 19:37:56.486 +0300,Expired,,,true,2025-11-06 19:37:56.486 +0300,2025-10-07 19:37:56.486 +0300,2025-11-16 15:58:30.473 +0300,136,,false,,,,0,2,,,,
119,137,5,2025-10-08 11:34:18.069 +0300,2025-11-07 11:34:18.069 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 11:34:18.069 +0300,2025-10-08 11:34:18.069 +0300,Expired,,,true,2025-11-07 11:34:18.069 +0300,2025-10-08 11:34:18.069 +0300,2025-11-16 15:58:30.473 +0300,137,,false,,,,0,2,,,,
120,131,2,2025-10-08 11:56:45.179 +0300,2025-10-08 11:37:35.087 +0300,false,false,Sponsorship,AGRI-2025-7400AB9B,0.00,TRY,,,1,1,,2025-10-01 03:00:00.000 +0300,Expired,,,false,,2025-10-08 11:56:45.179 +0300,2025-10-08 12:39:50.721 +0300,,,true,137,412,Redeemed code: AGRI-2025-7400AB9B,0,2,,2025-10-08 08:56:45.179,,
121,131,2,2025-10-08 12:39:50.957 +0300,2025-11-07 12:39:50.957 +0300,false,false,Sponsorship,AGRI-2025-38788BF2,0.00,TRY,,,1,1,,2025-10-01 03:00:00.000 +0300,Expired,,,false,,2025-10-08 11:58:13.214 +0300,2025-11-16 15:58:30.473 +0300,,,true,137,413,Queued - Redeemed code: AGRI-2025-38788BF2,0,2,2025-10-08 08:58:13.214,2025-10-08 09:39:50.957,,
122,131,2,0001-01-01 03:00:00.000 +0300,0001-01-01 03:00:00.000 +0300,false,false,Sponsorship,AGRI-2025-564439E0,0.00,TRY,,,0,0,,,Pending,,,false,,2025-10-08 11:58:33.726 +0300,,,,true,137,414,Queued - Redeemed code: AGRI-2025-564439E0,0,0,2025-10-08 08:58:33.726,,120,
123,138,5,2025-10-08 16:26:19.677 +0300,2025-11-07 16:26:19.677 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 16:26:19.677 +0300,2025-10-08 16:26:19.677 +0300,Expired,,,true,2025-11-07 16:26:19.677 +0300,2025-10-08 16:26:19.677 +0300,2025-11-16 15:58:30.473 +0300,138,,false,,,,0,2,,,,
124,139,5,2025-10-08 16:37:29.157 +0300,2025-11-07 16:37:29.157 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 16:37:29.157 +0300,2025-10-08 16:37:29.157 +0300,Expired,,,true,2025-11-07 16:37:29.157 +0300,2025-10-08 16:37:29.157 +0300,2025-11-16 15:58:30.473 +0300,139,,false,,,,0,2,,,,
125,140,5,2025-10-08 16:44:22.444 +0300,2025-11-07 16:44:22.444 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 16:44:22.444 +0300,2025-10-08 16:44:22.444 +0300,Expired,,,true,2025-11-07 16:44:22.444 +0300,2025-10-08 16:44:22.444 +0300,2025-11-16 15:58:30.473 +0300,140,,false,,,,0,2,,,,
126,141,5,2025-10-08 16:58:29.021 +0300,2025-11-07 16:58:29.021 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 16:58:29.021 +0300,2025-10-08 16:58:29.021 +0300,Expired,,,true,2025-11-07 16:58:29.021 +0300,2025-10-08 16:58:29.021 +0300,2025-11-16 15:58:30.473 +0300,141,,false,,,,0,2,,,,
127,142,5,2025-10-08 19:28:31.881 +0300,2025-11-07 19:28:31.881 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 19:28:31.881 +0300,2025-10-08 19:28:31.881 +0300,Expired,,,true,2025-11-07 19:28:31.881 +0300,2025-10-08 19:28:31.881 +0300,2025-11-16 15:58:30.473 +0300,142,,false,,,,0,2,,,,
128,143,5,2025-10-08 20:00:33.439 +0300,2025-11-07 20:00:33.439 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 20:00:33.439 +0300,2025-10-08 20:00:33.439 +0300,Expired,,,true,2025-11-07 20:00:33.439 +0300,2025-10-08 20:00:33.439 +0300,2025-11-16 15:58:30.473 +0300,143,,false,,,,0,2,,,,
129,144,5,2025-10-08 20:10:54.510 +0300,2025-11-07 20:10:54.510 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 20:10:54.510 +0300,2025-10-08 20:10:54.510 +0300,Expired,,,true,2025-11-07 20:10:54.510 +0300,2025-10-08 20:10:54.510 +0300,2025-11-16 15:58:30.473 +0300,144,,false,,,,0,2,,,,
